model,sampler,subnet,problem,c2st,std,c2st_median,c2st_mad,time,time_std
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,slcp_distractors,0.6480949938297271,0.0943204294959111,0.6053999960422516,0.0567249953746795,12.495427048206327,1.2027237118037817
flow_matching,ode-tsit5-adaptive,time_mlp,slcp_distractors,0.6715199947357178,0.1063325056816027,0.6174249947071075,0.0544999837875366,8.394409958273172,0.0120776139540903
flow_matching_edm,ode-tsit5-adaptive,time_mlp,slcp_distractors,0.6545100033283233,0.079918983074161,0.6516499817371368,0.0631999969482421,8.24776076860726,0.0086654367887457
stable_consistency_model,ode-euler,time_mlp,slcp_distractors,0.6924100041389465,0.0721054261074857,0.6707749962806702,0.0461749732494354,0.6326603533700108,0.646911227663488
consistency_model,ode-euler,time_mlp,two_moons,0.5205350041389465,0.0128695306053402,0.5189999938011169,0.0084500014781951,0.4381088498048484,0.4439157849812529
cot_flow_matching,ode-rk45-adaptive,time_mlp,two_moons,0.5529750049114227,0.0406108791471684,0.5439749956130981,0.032874971628189,8.60098125524819,0.7065825427643598
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,two_moons,0.5129299998283386,0.0083103290372359,0.5130999982357025,0.0060249865055084,10.129821783024818,0.1257609842804305
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,two_moons,0.5077700078487396,0.0084141971478318,0.5056500136852264,0.0034500062465667,11.872506670560687,0.9320134121780608
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,two_moons,0.5070000052452087,0.0051116001507097,0.5066250264644623,0.0049000084400177,10.06126281004399,0.7406329431015366
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,two_moons,0.5188549935817719,0.0232520837416378,0.5134999752044678,0.0098999738693237,8.19092704737559,0.9506901675962356
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,two_moons,0.5131000101566314,0.0097976011360457,0.5100000202655792,0.001499980688095,9.65342501429841,1.1454543120099918
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,two_moons,0.5072500020265579,0.0049249471185017,0.5065999925136566,0.0053500086069107,9.441662736143916,0.8768022567112158
flow_matching,ode-tsit5-adaptive,time_mlp,two_moons,0.5195199966430664,0.0086703941623064,0.5194500088691711,0.0031499862670898,8.448568973969667,0.0665488086100951
flow_matching_edm,ode-tsit5-adaptive,time_mlp,two_moons,0.5226600050926209,0.0112236364986298,0.5175749957561493,0.006300002336502,7.672009419649839,0.1103410103286816
stable_consistency_model,ode-euler,time_mlp,two_moons,0.5410549938678741,0.0133901566702736,0.5426499843597412,0.0082750022411346,0.6575338280759752,0.6899571564150213
